Iteration,Result,1.01E+03,,Scenario,Result
1,2.31E+03,1.03E+03,,0,50.583722
2,2.31E+03,1.06E+03,,1,88.563722
3,2.36E+03,1.06E+03,,2,65.783722
4,2.36E+03,8.32E+02,,3,24.983722
5,2.36E+03,8.32E+02,,4,35.783722
6,2.36E+03,8.32E+02,,5,32.163722
7,2.36E+03,7.74E+02,,6,70.763722
8,2.31E+03,7.76E+02,,7,32.163722
9,2.31E+03,7.56E+02,,8,35.783722
10,1.82E+03,7.56E+02,,9,17.783722
11,1.82E+03,7.02E+02,,10,26.983722
12,1.77E+03,7.02E+02,,11,199.783722
13,1.77E+03,6.83E+02,,12,10.583722
14,1.77E+03,7.38E+02,,13,12.363722
15,1.77E+03,7.39E+02,,14,15.863722
16,1.77E+03,7.37E+02,,15,21.683722
17,1.73E+03,5.62E+02,,16,12.363722
18,1.73E+03,5.62E+02,,17,15.863722
19,1.33E+03,5.62E+02,,18,24.663722
20,1.33E+03,4.19E+02,,19,31.883722
21,1.33E+03,4.19E+02,,20,60.483722
22,1.33E+03,3.78E+02,,21,46.283722
23,1.33E+03,3.78E+02,,22,60.483722
24,1.32E+03,3.78E+02,,23,34.083722
25,1.32E+03,3.67E+02,,24,246.083722
26,1.25E+03,3.66E+02,,25,50.663722
27,1.21E+03,3.66E+02,,26,962.263722
28,1.21E+03,3.66E+02,,27,65.463722
29,1.20E+03,3.66E+02,,28,323.463722
30,1.19E+03,3.66E+02,,29,323.463722
31,1.12E+03,2.60E+02,,30,82.263722
32,1.12E+03,2.60E+02,,31,65.463722
33,1.12E+03,2.50E+02,,32,46.283722
34,1.12E+03,2.50E+02,,33,60.483722
35,1.12E+03,1.70E+02,,34,8.483722
36,1.12E+03,1.46E+02,,35,156.483722
37,1.12E+03,1.42E+02,,36,14.283722
38,8.18E+02,1.42E+02,,37,8.483722
39,8.18E+02,1.42E+02,,38,4.263722
40,8.18E+02,1.42E+02,,39,7.463722
41,8.18E+02,1.36E+02,,40,37.863722
42,8.18E+02,1.30E+02,,41,15.863722
43,8.18E+02,1.24E+02,,42,65.463722
44,8.18E+02,1.21E+02,,43,91.763722
45,8.18E+02,1.00E+02,,44,1261.163722
46,8.18E+02,1.00E+02,,45,12.363722
47,8.18E+02,9.76E+01,,46,10.583722
48,8.18E+02,9.76E+01,,47,10.163722
49,8.18E+02,9.35E+01,,48,173.163722
50,8.18E+02,9.35E+01,,49,50.163722
51,8.18E+02,5.05E+01,,50,10.583722
52,5.69E+02,2.39E+01,,51,126.983722
53,5.69E+02,1.61E+01,,52,48.583722
54,5.69E+02,1.26E+01,,53,12.363722
55,5.47E+02,1.26E+01,,54,302.963722
56,5.47E+02,7.25E+00,,55,15.863722
57,5.47E+02,6.70E+00,,56,21.683722
58,5.26E+02,6.70E+00,,57,30.663722
59,5.26E+02,6.70E+00,,58,32.663722
60,5.26E+02,6.70E+00,,59,44.663722
61,5.26E+02,6.95E+00,,60,656.663722
62,5.26E+02,1.15E+00,,61,44.663722
63,5.05E+02,1.15E+00,,62,33.483722
64,4.85E+02,1.15E+00,,63,562.883722
65,4.65E+02,1.15E+00,,64,562.883722
66,4.65E+02,1.15E+00,,65,44.663722
67,4.65E+02,1.15E+00,,66,245.483722
68,4.65E+02,1.15E+00,,67,21.483722
69,4.65E+02,1.15E+00,,68,209.483722
70,4.65E+02,1.15E+00,,69,33.483722
71,4.65E+02,1.15E+00,,70,58.083722
72,4.46E+02,6.21E-01,,71,44.663722
73,4.46E+02,6.21E-01,,72,42.663722
74,4.46E+02,6.21E-01,,73,44.663722
75,4.46E+02,-2.54E+00,,74,708.663722
76,4.46E+02,-2.54E+00,,75,60.483722
77,4.46E+02,-2.54E+00,,76,42.663722
78,4.46E+02,-2.54E+00,,77,702.663722
79,4.46E+02,-2.54E+00,,78,44.663722
80,4.46E+02,-2.54E+00,,79,58.083722
81,4.27E+02,-2.54E+00,,80,876.683722
82,4.27E+02,-2.54E+00,,81,79.463722
83,4.27E+02,-2.54E+00,,82,98.263722
84,4.27E+02,-2.54E+00,,83,1149.863722
85,4.27E+02,-2.54E+00,,84,74.283722
86,4.27E+02,-2.54E+00,,85,98.263722
87,4.27E+02,-2.54E+00,,86,56.663722
88,4.27E+02,-2.54E+00,,87,42.663722
89,4.27E+02,-2.54E+00,,88,702.663722
90,4.27E+02,-2.54E+00,,89,44.663722
91,4.27E+02,-2.54E+00,,90,33.483722
92,4.27E+02,-2.54E+00,,91,45.683722
93,4.27E+02,-2.54E+00,,92,277.683722
94,4.27E+02,-2.54E+00,,93,74.283722
95,4.27E+02,-2.54E+00,,94,936.883722
96,4.09E+02,-2.54E+00,,95,2.283722
97,4.09E+02,-2.54E+00,,96,74.283722
98,4.09E+02,-2.54E+00,,97,56.663722
99,4.09E+02,-2.54E+00,,98,756.663722
100,4.09E+02,-2.54E+00,,99,306.663722
101,4.09E+02,-2.54E+00,,100,74.283722
102,4.09E+02,-2.54E+00,,101,56.663722
103,4.09E+02,-2.54E+00,,102,42.663722
104,4.09E+02,-2.54E+00,,103,12.663722
105,4.09E+02,-2.54E+00,,104,14.663722
106,4.09E+02,-2.54E+00,,105,12.663722
107,4.09E+02,-2.54E+00,,106,182.663722
108,4.09E+02,-2.54E+00,,107,6.663722
109,3.91E+02,-2.54E+00,,108,12.083722
110,3.91E+02,-2.54E+00,,109,19.883722
111,3.91E+02,-2.54E+00,,110,12.083722
112,3.91E+02,-2.54E+00,,111,19.883722
113,3.91E+02,-2.54E+00,,112,207.883722
114,3.91E+02,-2.54E+00,,113,12.663722
115,3.91E+02,-2.54E+00,,114,6.083722
116,3.91E+02,-2.54E+00,,115,58.083722
117,3.91E+02,-2.54E+00,,116,154.083722
118,3.91E+02,-2.54E+00,,117,11.883722
119,3.91E+02,-2.54E+00,,118,43.883722
120,3.91E+02,-2.54E+00,,119,31.683722
121,3.91E+02,-2.54E+00,,120,47.863722
122,3.91E+02,-2.54E+00,,121,285.863722
123,3.91E+02,-2.54E+00,,122,35.063722
124,3.91E+02,-2.54E+00,,123,21.483722
125,3.91E+02,-2.54E+00,,124,708.083722
126,3.91E+02,-2.54E+00,,125,29.483722
127,3.91E+02,-2.54E+00,,126,56.883722
128,3.91E+02,-2.54E+00,,127,8.883722
129,3.91E+02,-2.54E+00,,128,21.483722
130,3.91E+02,-2.54E+00,,129,8.883722
131,3.91E+02,-2.54E+00,,130,5.463722
132,2.37E+02,-2.54E+00,,131,67.463722
133,2.37E+02,-2.54E+00,,132,35.063722
134,2.37E+02,-2.54E+00,,133,24.263722
135,2.37E+02,-2.54E+00,,134,835.863722
136,1.27E+02,-2.54E+00,,135,13.283722
137,1.18E+02,-2.54E+00,,136,185.283722
138,1.18E+02,-2.54E+00,,137,6.663722
139,1.18E+02,-2.54E+00,,138,506.663722
140,1.18E+02,-2.54E+00,,139,156.663722
141,1.18E+02,-2.54E+00,,140,506.663722
142,1.09E+02,-2.54E+00,,141,56.663722
143,1.09E+02,-2.54E+00,,142,72.663722
144,1.09E+02,-2.54E+00,,143,71.083722
145,1.09E+02,-2.54E+00,,144,92.483722
146,1.09E+02,-2.54E+00,,145,2267.883722
147,1.09E+02,-2.54E+00,,146,71.083722
148,1.09E+02,-2.54E+00,,147,3.083722
149,1.09E+02,-2.54E+00,,148,6.663722
150,1.09E+02,-2.54E+00,,149,2.663722
151,1.09E+02,-2.54E+00,,150,132.663722
152,1.09E+02,-2.54E+00,,151,6.663722
153,1.09E+02,-2.54E+00,,152,2.663722
154,1.09E+02,-2.54E+00,,153,0.883722
155,1.09E+02,-2.54E+00,,154,9.483722
156,1.09E+02,-2.54E+00,,155,612.083722
157,1.09E+02,-2.54E+00,,156,15.683722
158,1.09E+02,-2.54E+00,,157,18.263722
159,1.09E+02,-2.54E+00,,158,9.483722
160,1.09E+02,-2.54E+00,,159,18.263722
161,1.09E+02,-2.54E+00,,160,11.463722
162,1.09E+02,-2.54E+00,,161,18.263722
163,1.09E+02,-2.54E+00,,162,196.263722
164,1.09E+02,-2.54E+00,,163,9.483722
165,1.09E+02,-2.54E+00,,164,612.083722
166,4.28E+01,-2.54E+00,,165,18.263722
167,4.28E+01,-2.54E+00,,166,0.883722
168,4.28E+01,-2.54E+00,,167,112.883722
169,4.28E+01,-2.54E+00,,168,112.883722
170,4.28E+01,-2.54E+00,,169,3.083722
171,4.28E+01,-2.54E+00,,170,135.083722
172,4.28E+01,-2.54E+00,,171,6.663722
173,4.28E+01,-2.54E+00,,172,56.663722
174,4.28E+01,-2.54E+00,,173,12.663722
175,4.28E+01,-2.54E+00,,174,7.283722
176,4.28E+01,-2.54E+00,,175,13.483722
177,4.28E+01,-2.54E+00,,176,21.683722
178,4.28E+01,-2.54E+00,,177,29.683722
179,4.28E+01,-2.54E+00,,178,21.683722
180,3.80E+01,-2.54E+00,,179,30.663722
181,3.80E+01,-2.54E+00,,180,240.663722
182,3.80E+01,-2.54E+00,,181,21.683722
183,3.80E+01,-2.54E+00,,182,15.863722
184,3.80E+01,-2.54E+00,,183,65.463722
185,6.40E+00,-2.54E+00,,184,9.063722
186,1.70E+00,-2.54E+00,,185,6.563722
187,1.70E+00,-2.54E+00,,186,269.163722
188,1.70E+00,-2.54E+00,,187,269.163722
189,1.70E+00,-2.54E+00,,188,154.563722
190,1.70E+00,-2.54E+00,,189,12.363722
191,1.70E+00,-2.54E+00,,190,154.563722
192,1.70E+00,-2.54E+00,,191,5.383722
193,1.70E+00,-2.54E+00,,192,198.983722
194,1.70E+00,-2.54E+00,,193,10.583722
195,1.70E+00,-2.54E+00,,194,172.583722
196,1.70E+00,-2.54E+00,,195,12.363722
197,1.70E+00,-2.54E+00,,196,5.383722
198,1.70E+00,-2.54E+00,,197,2.183722
199,1.70E+00,-2.54E+00,,198,171.783722
200,1.70E+00,-2.54E+00,,199,5.383722
201,1.70E+00,-2.54E+00,,200,63.383722
202,1.70E+00,-2.54E+00,,201,2.183722
203,1.70E+00,-2.54E+00,,202,124.183722
204,1.70E+00,-2.54E+00,,203,171.783722
205,1.70E+00,-2.54E+00,,204,124.183722
206,1.70E+00,-2.54E+00,,205,0.983722
207,1.70E+00,-2.54E+00,,206,0.963722
208,1.70E+00,-2.54E+00,,207,207.563722
209,1.70E+00,-2.54E+00,,208,1.163722
210,1.70E+00,-2.54E+00,,209,113.163722
