150,6.0985,4.315303031,0.143,3.86775,5.6885,7.024,17.282
300,5.2208,2.000610397,1.016,4.1695,6.4535,6.671,7.103
450,3.7551,2.532562791,0.011,1.863,3.829,6.21,6.813
600,3.1228,1.874862758,0.197,1.76625,3.155,4.084,6.539
750,4.2451,2.386027596,0.629,1.9165,5.181,5.63325,7.206
1000,3.0333,2.772436043,0.01,0.1305,2.7195,5.9765,6.98
1250,2.8438,1.998393044,0.053,0.8205,3.2565,4.3175,5.978
1500,3.897,2.437053754,0.21,1.43825,4.586,6.153,6.455
1750,2.4322,2.232239808,0.016,0.552,1.7925,3.84025,6.71
2000,1.6211,1.795185085,0.018,0.13025,0.688,2.81125,4.759
2500,2.6844,2.330131078,0.016,0.35875,2.4055,4.4625,6.266
3000,2.179,2.136212209,0.054,0.21,1.3465,4.157,5.675
